Ground Truth;Smelly Rules;Model;Temperature;UUID;Additional Infos;Rule 1;Rule 2;Rule 3;Rule 4;Rule 5;Rule 6;Rule 7;Rule 8;Rule 9;Rule 10;Rule 11;Rule 12;Rule 13;Rule 14;Rule 15;Rule 16
True;;gpt-4;0;a34b28b6-1362-4010-a993-ebcf28b8d715;tested;True;True;True;True;True;True;True;True;incomplete: player can't decide;True;True;True;True;True;missing;True
True;;gpt-4;0;b6a50411-51cf-47bb-8e86-e88c88106863;tested;True;True;True;True;True;True;True;True;incomplete: player can't decide;True;True;wrong: skips all players of this round;True;wrong: only tests 2 player;missing;True
True;;gpt-4;0;7eb24db1-b65c-45d6-a2d7-8881b25c562d;;;;;;;;;;;;;;;;;
True;;gpt-4;0;35b5800f-224d-4374-a87e-815efc0046e9;;;;;;;;;;;;;;;;;
True;;gpt-4;0;080a9145-ed5e-466b-b005-57b27550f6c0;;;;;;;;;;;;;;;;;
False;8, 9;gpt-4;0;275f2f9f-670c-496d-8e80-90b654c445aa;;;;;;;;;;;;;;;;;
False;8, 9;gpt-4;0;1d00b246-7a24-4165-9e84-b34008239c59;;;;;;;;;;;;;;;;;
False;8, 9;gpt-4;0;14f9420f-a7f3-4ac1-ace5-1859cc954245;;;;;;;;;;;;;;;;;
False;8, 9;gpt-4;0;5b5cf1aa-f1f9-4c59-8fcf-f14d688fcc8d;;;;;;;;;;;;;;;;;
True;;gpt-4;0;8881373e-134b-4eb6-a5a0-a4aa755479f7;;;;;;;;;;;;;;;;;
True;;gpt-4;??;manual_1;only tested rule 15. Generated via chat.openai.com;;;;;;;;;;;;;;;True;
True;;gpt-4;0;152ad5f9-f1c8-40e7-b0dc-147b246111a3;;;;;;;;;;;;;;;;;
True;;gpt-4;0;78e34c4c-5ed2-4ba6-af00-d8232e53ac26;;;;;;;;;;;;;;;;;
True;;gpt-4;0;7efc59e8-2b96-4f05-ae52-bc7ad97a3bae;;;;;;;;;;;;;;;;;
True;;gpt-4;0;4750d1ca-719e-4eca-82c0-4e5fdd5943a3;;;;;;;;;;;;;;;;;
True;;gpt-4;0;579cda5e-8eb8-4526-a71d-a812d8ea8bf3;;;;;;;;;;;;;;;;;
True;;gpt-3.5-turbo;0;580bbe26-0e48-4377-bd1f-3e73e2bfa980;no review, old model;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
False;8, 9, 10, 11, 12, 13, 14, 15, 16;gpt-4;0;de2a5a41-25df-4f72-869a-4cdd98a39d7e;;;;;;;;;;;;;;;;;
False;8, 9, 10, 11, 12, 13, 14, 15, 16;gpt-4;0;5979a019-66e6-4a86-a13c-cd3e000a857e;;;;;;;;;;;;;;;;;
False;8, 9, 10, 11, 12, 13, 14, 15, 16;gpt-4;0;05eef439-692f-460b-b2af-71edee1ceb8c;tested;True;True;True;True;True;True;True;wrong: player wins if he gets 10 points;incomplete: computer decides if dice is thrown again;True;True;only first statement gets implemented;both statements implemented;True;missing;True
