'Rule ID', 'Is it implemented?', 'Lines of implementation in source code'
'1', 'Yes', '32-42, 44-45, 47-82'
'2', 'Yes', '22, 41'
'3', 'Yes', '47-82'
'4', 'Yes', '53-60'
'5', 'Yes', '62'
'6', 'Yes', '66'
'7', 'Yes', '47-82'
'8', 'Yes', '101-127'
'9', 'Yes', '54-59'
'10', 'Yes', '69, 85'
'11', 'Yes', '88-90, 41'
'12', 'Yes', '63-65'
'13', 'Yes', '71-73'
'14', 'No', ''
'15', 'Yes', '92-98'
'16', 'Yes', '129-132'
'17', 'Yes', '44-45'
'18', 'Yes', '34-39'
'19', 'No', ''
'20', 'No', ''
'21', 'No', ''
