"Rule ID","Is it implemented?","Lines of implementation in source code",'Was the Rule smellfree?','Expected Line'
"1","Yes","5-10, 16-27, 29-70",'Yes',
"2","Yes","10",'Yes',
"3","Yes","29-70",'Yes',
"4","Yes","36-46",'Yes',
"5","Yes","54",'Yes',
"6","Yes","55",'Yes',
"7","Yes","29, 66-69",'Yes',
"8","Yes","57-60",'No',
"9","Yes","37-39",'No',
"10","Yes","58",'No',
"11","Yes","76-82",'No',
"12","Yes","40-42, 43-46",'No',
"13","Yes","47-52",'No',
"14","Yes","62-64",'No',
"15","Yes","19-27",'No',
"16","Yes","19-27",'No',
